,SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,Predicted Rank
119,120,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),031 Lakhdhirji Enggniering collegeMorbi. (Id: C191),Rajkot,Technical/Polytechnic,1406,155,1561,50,12,62,0,0,25.18,-1.1590432
120,121,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),035 NOBLE ENGINEERING COLLEGE JU0GADH (Id: C213),Junagadh,Technical/Polytechnic,2148,290,2438,112,52,164,0,1,14.87,-0.5028055
121,122,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),037 PARUL INSTITUTE OF ENGG. AND TECH. LIMDA VAGHODIA (Id: C131),Vadodara,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,-0.14821967
122,123,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),051 ALPHA COLLEGE OF ENGG. and TECH. KHATRAJ KALOL (Id: C207),Gandhinagar,Technical/Polytechnic,1573,304,1877,85,36,121,1,0,15.52,-0.9160156
123,124,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),075 SHANKERSINH VAGHELA BAPU INSTITUTE OF TECH. U0VA GANDHI0GAR (Id: C266),Gandhinagar,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,-0.5321654
124,125,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),406 Dr. Dayaram Patel Pharmacy College (Diploma) Bardoli Surat (Id: C459),Surat,Technical/Polytechnic,18,26,44,2,2,4,0,0,11,-0.50633293
125,126,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),408 L. M. College Of Pharmacy (Diploma) (Id: C458),Ahmadabad,Technical/Polytechnic,44,45,89,4,5,9,1,1,9.89,-0.49902734
126,127,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),409 M. N. College Of Pharmacy (Diploma) Khambhat (Id: C457),Anand,Technical/Polytechnic,61,33,94,5,1,6,1,0,15.67,-0.9229202
127,128,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),414 Shantilal Shah Pharmacy College (Diploma) (Id: C463),Bhavnagar,Technical/Polytechnic,31,18,49,5,1,6,0,0,8.17,-0.37606734
128,129,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),415 Shri B. M. Shah College Of Pharmacy (Diploma) Modasa (Id: C464),Sabar Kantha,Technical/Polytechnic,11,12,23,4,1,5,1,1,4.6,-0.36408114
129,130,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),417 Tolani Institute Of Pharmacy (Diploma) Adipur (Id: C465),Kachchh,Technical/Polytechnic,25,14,39,1,3,4,1,1,9.75,-0.4937378
130,131,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),525 Parul Institute of Engineering and TechnologyMCA Programme (SFI)Vadodara (Id: C155),Vadodara,Technical/Polytechnic,82,52,134,8,6,14,0,0,9.58,-0.44097012
131,132,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),601 A. Y. Dadabhai Technical Institute Kosamba (Id: C364),Surat,Technical/Polytechnic,1014,134,1148,39,16,55,0,1,20.88,-0.7794471
132,133,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),602 A.V.Parekh Technical InstituteRajkot (Id: C50),Rajkot,Technical/Polytechnic,1429,692,2121,42,22,64,1,0,33.15,-1.72753
133,134,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),603 Atmiya institue of Technology and Science for Diploma Studies Yogi Devine Soc Rajkot (Id: C61),Rajkot,Technical/Polytechnic,1419,254,1673,64,23,87,1,0,19.23,-1.086788
134,135,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),604 B and B Institute of TechnologyVallabh Vidhyanagar  GIA (Id: C166),Anand,Technical/Polytechnic,837,293,1130,46,6,52,1,0,21.74,-1.2023243
135,136,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),605 B and B Institute of TechnologyVallabh Vidhyanagar (SFI) (Id: C422),Anand,Technical/Polytechnic,541,151,692,22,7,29,0,0,23.87,-1.0987425
136,137,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),606 Butler Polytechnic Vadodara (Id: C59),Vadodara,Technical/Polytechnic,456,94,550,16,11,27,0,0,20.38,-0.93809736
137,138,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),608 Bhagvan Mahavir Polytechnic Surat (Id: C78),Surat,Technical/Polytechnic,831,192,1023,54,25,79,1,0,12.95,-0.7977178
138,139,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),609 C.U.Shah PolytechnicSurendranagar (Id: C349),Surendranagar,Technical/Polytechnic,1245,273,1518,70,19,89,0,1,17.06,-0.6036116
139,140,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),610 Christ Polytechnic Institute Rajkot (Id: C32),Rajkot,Technical/Polytechnic,1696,133,1829,56,40,96,1,1,19.06,-0.89729774
140,141,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),611 Dr.J.N.Maheta Government PolytechnicAmreli (Id: C287),Amreli,Technical/Polytechnic,1434,250,1684,43,3,46,0,1,36.61,-1.5035033
141,142,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),612 Dr.S.and S.S.Gandhi college of Engg. And TechnologySurat (Id: C248),Surat,Technical/Polytechnic,2396,248,2644,72,25,97,0,0,27.26,-1.2547853
142,143,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),613 Excel Institute of Diploma StudiesKalol (Id: C297),Gandhinagar,Technical/Polytechnic,528,36,564,39,17,56,1,1,10.08,-0.5062065
143,144,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),614 Government Girls PolytechnicAhmedabad (Id: C29),Ahmadabad,Technical/Polytechnic,0,1801,1801,20,48,68,1,1,26.49,-1.2393034
144,145,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),615 Government Girls PolytechnicSurat. (Id: C385),Surat,Technical/Polytechnic,0,1744,1744,30,25,55,0,1,31.71,-1.2779555
145,146,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),616 Government Polytechnic AahvaDang (Id: C387),The Dangs,Technical/Polytechnic,378,66,444,21,2,23,1,1,19.31,-0.90880513
146,147,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),618 Government Polytechnic Godhra (Id: C357),Panch Mahals,Technical/Polytechnic,932,57,989,31,2,33,0,1,29.97,-1.1978619
147,148,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),619 Government Polytechnic Junagadh (Id: C369),Jamnagar,Technical/Polytechnic,431,50,481,25,4,29,1,0,16.59,-0.9652679
148,149,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),620 Government Polytechnic Rajkot (Id: C243),Rajkot,Technical/Polytechnic,2900,310,3210,101,21,122,0,1,26.32,-1.0298518
149,150,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),621 Government PolytechnicBhuj (Id: C56),Kachchh,Technical/Polytechnic,1986,92,2078,32,9,41,1,1,50.69,-2.3532355
150,151,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),622 Government PolytechnicChotta Udepur (Id: C277),Vadodara,Technical/Polytechnic,1214,37,1251,43,2,45,0,1,27.8,-1.0979776
151,152,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),623 Government PolytechnicGandhinagar (Id: C237),Gandhinagar,Technical/Polytechnic,2472,971,3443,57,33,90,1,0,38.26,-1.9627447
152,153,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),624 Government PolytechnicHimmatnagar (Id: C337),Sabar Kantha,Technical/Polytechnic,1621,376,1997,28,20,48,0,0,41.61,-1.9153209
153,154,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),625 Government PolytechnicJamnagar (Id: C51),Jamnagar,Technical/Polytechnic,1366,326,1692,55,22,77,0,1,21.98,-0.8300803
154,155,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),626 Government PolytechnicPalanpur (Id: C416),Banas Kantha,Technical/Polytechnic,2006,149,2155,73,12,85,0,0,25.36,-1.1673278
155,156,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),627 Government PolytechnicPorbandar (Id: C279),Porbandar,Technical/Polytechnic,1268,328,1596,44,14,58,1,0,27.52,-1.4683789
156,157,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),628 Government PolytechnicVadnagar (Id: C187),Patan,Technical/Polytechnic,372,66,438,18,10,28,0,0,15.65,-0.720374
157,158,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),629 Government PolytechnicValsad (Id: C300),Valsad,Technical/Polytechnic,2103,238,2341,49,13,62,1,0,37.76,-1.9397292
158,159,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),630 Government PolytechnicDahod (Id: C217),Dohad,Technical/Polytechnic,1266,263,1529,67,12,79,1,1,19.36,-0.91110635
159,160,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),631 K.D.PolytechnicPatan (Id: C156),Patan,Technical/Polytechnic,2026,377,2403,74,18,92,1,0,26.12,-1.4039369
160,161,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),632 K.P.Thakkar Swa. Krishanajeevandas Insti of TechSokli (Id: C21),Ahmadabad,Technical/Polytechnic,1199,43,1242,29,7,36,0,0,34.5,-1.5880444
161,162,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),636 Merchant Polytechnic Visnagar (Id: C240),Mahesana,Technical/Polytechnic,1451,86,1537,70,17,87,0,0,17.67,-0.8133551
162,163,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),637 N.G.Patel PolytechnicIsroli (Id: C268),Surat,Technical/Polytechnic,1234,178,1412,61,11,72,1,1,19.62,-0.9230752
163,164,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),638 Parul Institute of Diploma Studies (Id: C81),Vadodara,Technical/Polytechnic,3457,604,4061,132,73,205,1,0,19.81,-1.1134852
164,165,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),639 Parul Institute of Diploma StudiesLimda (Id: C157),Vadodara,Technical/Polytechnic,1233,371,1604,44,50,94,0,1,17.07,-0.6040721
165,166,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),640 R.C.Technical InstituteAhmedabad (Id: C206),Ahmadabad,Technical/Polytechnic,2150,443,2593,92,29,121,0,0,21.43,-0.98642933
166,167,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),641 R.H.PATEL INSTI. OF TECHNOLOGYGOBLAJKHEDA (Id: C27),Kheda,Technical/Polytechnic,326,3,329,96,12,108,0,1,3.05,-0.061962396
167,168,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),642 RMS Polytechnic Waghodiya (Id: C403),Vadodara,Technical/Polytechnic,2275,133,2408,99,27,126,0,1,19.12,-0.69843423
168,169,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),643 Sarvodaya Polytechnic Institute Limbdi (Id: C158),Surendranagar,Technical/Polytechnic,1140,31,1171,49,7,56,1,1,20.92,-0.9829143
169,170,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),644 B.S.Patel PolytechnicMehsana. (Id: C200),Mahesana,Technical/Polytechnic,3298,346,3644,291,33,324,0,0,11.25,-0.517841
170,171,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),645 Shri K.J.PolytechnicBharuch (Id: C318),Bharuch,Technical/Polytechnic,2395,680,3075,43,33,76,1,0,40.47,-2.0644715
171,172,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),646 Shri N.M.Gopani Polytechnic instituteRanpur (Id: C255),Ahmadabad,Technical/Polytechnic,2021,25,2046,88,10,98,1,0,20.88,-1.1627378
172,173,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),647 Shri Tapi Brahmcharyashram sabha college of Diploma EnggSurat. (Id: C23),Surat,Technical/Polytechnic,1147,259,1406,48,17,65,0,1,21.64,-0.8144305
173,174,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),649 Sir Bhavsinhji Polytechnic Institute Bhavnagar (Id: C288),Bhavnagar,Technical/Polytechnic,2696,436,3132,60,22,82,0,1,38.2,-1.5766914
174,175,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),650 Swami Sacchidanand Polytechnic collegeVisnagar (Id: C252),Mahesana,Technical/Polytechnic,1614,147,1761,93,17,110,1,1,16.01,-0.75690573
175,176,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),651 T.F.Gandhidham PolytechnicAdipur(Kutch) (Id: C428),Kachchh,Technical/Polytechnic,418,59,477,23,3,26,0,0,18.35,-0.84465563
176,177,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),652 Verdhman Bharti Trust Technical Institute Of Diploma Studies Wadhwan City (Id: C325),Surendranagar,Technical/Polytechnic,1049,73,1122,31,16,47,1,0,23.88,-1.3008286
177,178,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),653 Tolani FoundationGandhidham Polytechnic(SFI) (Id: C223),Kachchh,Technical/Polytechnic,590,91,681,21,11,32,0,0,21.29,-0.9799845
178,179,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),654 V.P.M.P. Polytechnic Gandhinagar (Id: C283),Gandhinagar,Technical/Polytechnic,1718,333,2051,62,32,94,1,0,21.82,-1.2060066
179,180,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),655 Vallabhbudhi polytechnic Navsari (Id: C420),Navsari,Technical/Polytechnic,1454,265,1719,62,29,91,0,0,18.9,-0.86997235
180,181,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),656 Vidhyabharti Trust Polytechnic InstituteUmrakh. (Id: C31),Surat,Technical/Polytechnic,1264,133,1397,53,13,66,0,1,21.17,-0.7927965
181,182,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),661 Ved Vyas Polytechnic Himmatnagar (Id: C293),Sabar Kantha,Technical/Polytechnic,1068,62,1130,32,10,42,1,1,26.91,-1.2586354
182,183,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),662 Darshan Inst. Of Eng. and Tech. For Diploma Studies Rajkot (Id: C232),Rajkot,Technical/Polytechnic,414,30,444,65,7,72,0,1,6.17,-0.13631299
183,184,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),663 Balaji Insti. Of Eng. and Tech Junagadh (Id: C265),Junagadh,Technical/Polytechnic,903,122,1025,49,8,57,1,1,17.99,-0.8480457
184,185,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),664 Atul Polytechnic Mansa Mahudi (Id: C203),Gandhinagar,Technical/Polytechnic,1240,78,1318,69,21,90,0,1,14.65,-0.4926784
185,186,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),665 Om Insti. Of Eng.and Technology Junagadh (Id: C210),Junagadh,Technical/Polytechnic,788,88,876,42,11,53,0,0,16.53,-0.7608806
186,187,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),666 S.B. Polytechnic Savli Vadodara (Id: C77),Vadodara,Technical/Polytechnic,1209,132,1341,39,28,67,1,1,20.02,-0.94148695
187,188,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),667 Dalia Insti. Of Diploma Studies Kheda (Id: C424),Kheda,Technical/Polytechnic,1278,92,1370,53,10,63,1,1,21.75,-1.0211194
188,189,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),668 Narayanbhai Bhikhabhai Patel PolytechnicPiludara Mehsana (Id: C215),Mahesana,Technical/Polytechnic,1233,43,1276,44,7,51,0,1,25.02,-0.9700128
189,190,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),669 Savitaben Dahyabhai Patel Polytechnic Mehsana (Id: C374),Mahesana,Technical/Polytechnic,1027,26,1053,42,8,50,0,1,21.06,-0.7877325
190,191,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),671 Swaminarayan College of Engg. Saij Kalol (Id: C363),Gandhinagar,Technical/Polytechnic,1016,122,1138,49,21,70,0,0,16.26,-0.74845254
191,192,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),674 Aarsh Mahavidyalaya TrambaRajkot (Id: C371),Rajkot,Technical/Polytechnic,1232,31,1263,63,8,71,1,1,17.79,-0.8388394
192,193,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),675 F. D.(Mubin) Institute of Engineering and Technology Dehgam Bahiyal Gandhinagar (Id: C328),Gandhinagar,Technical/Polytechnic,680,38,718,36,4,40,1,1,17.95,-0.8462043
193,194,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),676 H. B. Patel Institute of Diploma Engineering and Technology Limbodara Lunavada (Id: C184),Gandhinagar,Technical/Polytechnic,805,43,848,26,1,27,1,1,31.41,-1.4657717
194,195,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),677 Shree Hari Polytechnic Institute Nani Kadi (Id: C71),Mahesana,Technical/Polytechnic,1105,44,1149,47,11,58,0,0,19.82,-0.91232026
195,196,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),678 Balasinor College of Polytechnic Dist. Kheda (Id: C238),Kheda,Technical/Polytechnic,880,44,924,31,7,38,0,1,24.32,-0.93779135
196,197,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),679 J.J.C.E. Trust Sanchalit N.R.Vekaria Insti. Of Tech.  Junagadh (Id: C126),Junagadh,Technical/Polytechnic,282,30,312,17,12,29,0,0,10.76,-0.49528605
197,198,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),680 Arpit Institute of Engineering and Technology (Diploma)HadalaRajkot (Id: C220),Rajkot,Technical/Polytechnic,1004,27,1031,38,14,52,1,1,19.83,-0.93274105
198,199,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),681 Smt. R.S.Patel Insti. Of Diploma Engg. Shelavi Patan (Id: C54),Patan,Technical/Polytechnic,201,10,211,38,3,41,0,0,5.15,-0.23705587
199,200,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),682 D.A. Diploma Engg. and Technology Mahemdavad (Id: C177),Kheda,Technical/Polytechnic,991,70,1061,38,11,49,0,0,21.66,-0.99701595
200,201,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),683 Image Engg. And Technology Institute Kheda (Id: C205),Kheda,Technical/Polytechnic,752,19,771,46,11,57,0,0,13.53,-0.62278974
201,202,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),738 Noble Engineering College(MBA Course) (SFI) Bamangam Junagadh (Id: C193),Junagadh,Technical/Polytechnic,54,65,119,4,5,9,0,1,13.23,-0.42731547
202,203,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Aarsh Mahavidyalaya TrambaRajkot 674 (Id: C371),Rajkot,Technical/Polytechnic,1232,31,1263,63,8,71,0,0,17.79,-0.81887853
203,204,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),ALPHA COLLEGE OF ENGINEERING AND TECHNOLOGY694 (Id: C49595),Gandhinagar,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
204,205,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Amrut Institute Junagadh685 (Id: C45262),Junagadh,Technical/Polytechnic,666,14,680,28,11,39,1,1,17.44,-0.8227289
205,206,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),A. R. COLLEGE OF PHARMACY and G.H.P. INSTITUTE OF PHARMACY(Diploma) V.V.0GAR 401 (Id: C460),Anand,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
206,207,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Arpit Institute of Engineering and Technology (Diploma)HadalaRajkot 680 (Id: C220),Rajkot,Technical/Polytechnic,1004,27,1031,38,14,52,0,1,19.83,-0.731115
207,208,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),ARRDEKTA INSTITUTE OF TECHNOLOGY696 (Id: C48752),Sabar Kantha,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,-0.5321654
208,209,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),ASIAN INSTITUTE OF TECHNOLOGY VADALI (969) (Id: C50517),Sabar Kantha,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
209,210,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),ASIATIC INSTITUTE OF SCIENCE AND TECHNOLOGY978 (Id: C49607),Rajkot,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,-0.24562012
210,211,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Atmiya institue of Technology and Science for Diploma Studies Yogi Devine Soc Rajkot 603 (Id: C61),Rajkot,Technical/Polytechnic,1419,254,1673,64,23,87,1,1,19.23,-0.90512276
211,212,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),ATMIYA INSTITUTE KHADIYA (Id: C45262),Junagadh,Technical/Polytechnic,666,14,680,28,11,39,0,0,17.44,-0.80276823
212,213,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Atul Polytechnic Mansa Mahudi 664 (Id: C203),Gandhinagar,Technical/Polytechnic,1240,78,1318,69,21,90,1,1,14.65,-0.6943044
213,214,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),A.V.Parekh Technical InstituteRajkot 602 (Id: C50),Rajkot,Technical/Polytechnic,1429,692,2121,42,22,64,1,1,33.15,-1.5458641
214,215,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),A. Y. Dadabhai Technical Institute Kosamba 601 (Id: C364),Surat,Technical/Polytechnic,1014,134,1148,39,16,55,0,0,20.88,-0.961112
215,216,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Balaji Insti. Of Eng. and Tech Junagadh 663 (Id: C265),Junagadh,Technical/Polytechnic,903,122,1025,49,8,57,1,1,17.99,-0.8480457
216,217,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Balasinor College of Polytechnic Dist. Kheda 678 (Id: C238),Kheda,Technical/Polytechnic,880,44,924,31,7,38,0,1,24.32,-0.93779135
217,218,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),B and B Institute of TechnologyVallabh Vidhyanagar  GIA 604 (Id: C166),Anand,Technical/Polytechnic,837,293,1130,46,6,52,1,1,21.74,-1.0206587
218,219,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),B and B Institute of TechnologyVallabh Vidhyanagar (SFI) 605 (Id: C422),Anand,Technical/Polytechnic,541,151,692,22,7,29,1,0,23.87,-1.3003682
219,220,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Bhagvan Mahavir Polytechnic Surat 608 (Id: C78),Surat,Technical/Polytechnic,831,192,1023,54,25,79,1,0,12.95,-0.7977178
220,221,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),B.S.Patel PolytechnicMehsana. 644 (Id: C200),Mahesana,Technical/Polytechnic,3298,346,3644,291,33,324,1,1,11.25,-0.5504136
221,222,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Butler Polytechnic Vadodara 606 (Id: C59),Vadodara,Technical/Polytechnic,456,94,550,16,11,27,1,1,20.38,-0.9580575
222,223,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Christ Polytechnic Institute Rajkot 610 (Id: C32),Rajkot,Technical/Polytechnic,1696,133,1829,56,40,96,1,1,19.06,-0.89729774
223,224,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),C.U.Shah PolytechnicSurendranagar 609 (Id: C349),Surendranagar,Technical/Polytechnic,1245,273,1518,70,19,89,1,0,17.06,-0.986902
224,225,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),D.A. Diploma Engg. and Technology Mahemdavad 682 (Id: C177),Kheda,Technical/Polytechnic,991,70,1061,38,11,49,1,1,21.66,-1.0169765
225,226,Gujarat,Gujarat Technological University Ahmedbabd (Id: U0135),Dalia Insti. Of Diploma Studies (667 )Kheda (Id: C424),Kheda,Technical/Polytechnic,1278,92,1370,53,10,63,1,1,21.75,-1.0211194
